Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band
BRO-SXI,0.9943926485250782,0.33221447150593003,0.8205720640373859,0.0424092500902041,0.7742540318883961,1,0.6730112956522005,54.53728592361631,40.0
BRO-STBA,1.1867551159909888,0.6615876771072553,0.8933609309238276,0.0380051754390501,-0.3704195696954881,1,0.7131894522466377,111.49035073423786,33.6
BRO-FDP,0.6482797666307824,0.8098841897046062,0.768787214676017,0.0387360162939196,0.7536824285942592,3,0.6331500458388066,38.30496509478767,84.8
BRO-SAFT,0.8573989178921023,0.7117113536412645,0.8179891378622505,0.0380577565236812,0.7432369749644668,1,0.6675369182397307,54.722467918581586,41.6
BRO-SCS,1.369459736244468,0.6893099332867493,0.9109119634007609,0.0399040761449606,0.860449482564694,6,0.69079611267172,97.93044261643966,26.400000000000002
BRO-POLY,1.991972394920934,0.9302404529757234,0.26320881832768617,0.0295850858072312,0.16115275386838068,2,0.6164039404665481,23.79450462543345,16.0
BRO-MATW,0.9047762536349491,0.5170414569829418,0.8227953077253116,0.0363536559963047,0.7428483403289535,3,0.6849067342954471,58.24991184222708,33.6
BRO-BRKL,0.8309119182132523,0.7361224077174284,0.9037505142661129,0.0403442846938969,0.6886670257080839,1,0.6846568098298143,113.76480019572392,60.8
BRO-DY,0.8741415175282959,0.7834989174698521,0.8123515292813741,0.0420920264471442,0.5816099698466761,3,0.6540070885951512,53.283756471029044,55.2
BRO-KAMN,1.0531611645960524,0.4989171626209443,0.8781076798018794,0.0484076894322494,0.7676400650490874,6,0.698273128874435,79.39386021387838,46.400000000000006
BRO-APOG,1.0818859192002632,0.22920691926555314,0.8442979593361079,0.0394233722207609,0.8202895633788809,2,0.6683606702983267,64.6757072148832,37.6
BRO-TMP,0.5719982082408461,0.10024119179962471,0.8714826761320815,0.0405348400392136,0.9648611112419878,1,0.631186758788791,59.71536407692689,94.39999999999999
BRO-HA,0.865389930653493,0.9650996464615674,0.8871879649261456,0.0441094389253257,0.6473851493559145,1,0.6534441447533388,81.26278945018102,72.0
BRO-AXL,1.6979994512620697,0.30360898444468554,0.7552774859110046,0.0364672609221993,0.605923783800972,0,0.601621732695462,42.96773902469732,19.2
BRO-BJRI,1.0612652957772748,0.7845938208920894,0.8894297200754326,0.0405867411565843,0.5917263270035626,4,0.6587315515942906,88.91598239508772,38.4
