Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
WTRG-FR,1.1386525829801828,0.00828123874653472,0.001668935526454333,0.0415500228692597,0.9021808752521207,38,0.3963804252212264,19.99600265209284,96.54255319148936,0.7989933907150597
WTRG-KBR,1.5840234795505173,0.0014474772933582693,0.00023873558907229462,0.0578018377023379,0.7999410112280027,54,0.393897678371432,15.397978232210987,90.55851063829788,0.4951609296369468
WTRG-SIGI,1.2260339591686895,0.0031478025286602886,0.0005596961205269558,0.0447386145725142,0.8855936852650765,56,0.4416936175603964,17.23826122357061,94.14893617021278,0.4354336579469751
WTRG-MLHR,1.7000887912955138,0.004847046423876731,0.0009124464777050664,0.0620371210797404,0.7649851753115979,62,0.34742599841897387,18.622303968735316,93.88297872340425,0.7415650370354121
WTRG-SC,1.503799419801466,0.0066572047093663754,0.001304112147334839,0.0548744201852989,0.8218615960845123,52,0.4331997075170779,19.587384034369997,97.47340425531915,0.3210796741246089
WTRG-AWI,1.1724856646971862,0.0009175292244512387,0.00014466586209938546,0.0427846095553934,0.8959400546502841,54,0.4057233271905155,15.08713395225007,95.61170212765957,0.3393889714711753
WTRG-AIN,1.3345358278307629,0.004337872774442312,0.0008060116107394916,0.0486979039920025,0.8627886612418112,66,0.4297624930217348,18.27031049107045,94.14893617021278,0.3804928492812851
WTRG-IVR,1.3098518831810715,0.0034597930162383987,0.0006082643698621228,0.0477971740590726,0.8682004206114198,56,0.4628268471526232,16.984808162865658,94.28191489361703,0.7142599976621897
WTRG-PKI,1.2390527481706146,0.007892923895804165,0.001582597891568354,0.0452136769302917,0.8829895088189803,64,0.39204795811291804,18.353878316194816,92.95212765957447,0.4114329794511477
ARES-WTRG,3.0717976951010733,0.0017466529307006322,0.00029276024629133524,0.1120914898793237,0.7655006829033308,41,0.4829047565020081,20.09752428901948,96.67553191489363,1.3844587251181606
ARES-ATR,2.4294628778146135,0.002746552428430188,0.00048195029607462774,0.0886523595010995,0.8608326113547023,40,0.44756942902098323,19.71783622519518,93.75,1.0183748377603663
ARES-ORI,2.1114436528884846,0.0015423377988382217,0.0002495902992885559,0.0770476731673973,0.8968798789333882,67,0.38418080723605347,13.046750332691621,95.34574468085107,1.403480602165461
